CCMS_ID	LibraryID	SpectrumIDs	NumSpectra	Compound_Name	mibig_id	mibig_name	GCF_ID
110408	Clavulanic acid	CCMSLIB00005435929,CCMSLIB00005435928,CCMSLIB00005435928	3	Clavulanic acid	BGC0000841,BGC0000844,BGC0000845	Clavulanic acid,clavulanic acid	GCF2
429474	N-acetyltryptophan	CCMSLIB00004691921	1	N-acetyltryptophan	BGC0001679	N-acetyltryptophan	
484244	norlichexanthone	CCMSLIB00004709011	1	norlichexanthone	BGC0000070	norlichexanthone	
556107	MLS001066392-01!Anisomycin from Streptomyces griseolus	CCMSLIB00000085827,CCMSLIB00000085827,CCMSLIB00000085827	3	MLS001066392-01!Anisomycin from Streptomyces griseolus	BGC0001510	anisomycin	
556119	MLS001066392-01!Anisomycin from Streptomyces griseolus	CCMSLIB00000085827,CCMSLIB00000085827,CCMSLIB00000085827	3	MLS001066392-01!Anisomycin from Streptomyces griseolus	BGC0001510	anisomycin	
556142	MLS001066392-01!Anisomycin from Streptomyces griseolus	CCMSLIB00000085827,CCMSLIB00000085827,CCMSLIB00000085827	3	MLS001066392-01!Anisomycin from Streptomyces griseolus	BGC0001510	anisomycin	
559295	Massbank:KO008860 Adenosine	CCMSLIB00000221122	1	Massbank:KO008860 Adenosine	BGC0001735	vidarabine	
567754	ADENOSINE	CCMSLIB00000578029,CCMSLIB00000578029	2	ADENOSINE	BGC0001735	vidarabine	
567888	ADENOSINE	CCMSLIB00000578029,CCMSLIB00000578029	2	ADENOSINE	BGC0001735	vidarabine	
586268	Naringenin	CCMSLIB00005435947,CCMSLIB00005435947	2	Naringenin	BGC0001310	naringenin	
586421	Naringenin	CCMSLIB00005435947,CCMSLIB00005435947	2	Naringenin	BGC0001310	naringenin	
595468	Nematophin	CCMSLIB00000840592,CCMSLIB00000840592	2	Nematophin	BGC0001434,BGC0001692	Nematophin,nematophin	GCF488
595820	MLS000738094-01!NARINGENIN480-41-1	CCMSLIB00000085206	1	MLS000738094-01!NARINGENIN480-41-1	BGC0001310	naringenin	
608045	Nematophin	CCMSLIB00000840592,CCMSLIB00000840592	2	Nematophin	BGC0001434,BGC0001692	Nematophin,nematophin	GCF488
995656	MYCOPHENOLIC ACID	CCMSLIB00004702359	1	MYCOPHENOLIC ACID	BGC0000104,BGC0001677	Mycophenolic acid,mycophenolic acid	
1096020	Mycophenolic Acid	CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861	7	Mycophenolic Acid	BGC0000104,BGC0001677	Mycophenolic acid,mycophenolic acid	
1110622	Mycophenolic Acid	CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861	7	Mycophenolic Acid	BGC0000104,BGC0001677	Mycophenolic acid,mycophenolic acid	
1110692	Mycophenolic Acid	CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861	7	Mycophenolic Acid	BGC0000104,BGC0001677	Mycophenolic acid,mycophenolic acid	
1111246	Mycophenolic Acid	CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861	7	Mycophenolic Acid	BGC0000104,BGC0001677	Mycophenolic acid,mycophenolic acid	
1111327	Mycophenolic Acid	CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861	7	Mycophenolic Acid	BGC0000104,BGC0001677	Mycophenolic acid,mycophenolic acid	
1111345	Mycophenolic Acid	CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861	7	Mycophenolic Acid	BGC0000104,BGC0001677	Mycophenolic acid,mycophenolic acid	
1111363	Mycophenolic Acid	CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861,CCMSLIB00004695861	7	Mycophenolic Acid	BGC0000104,BGC0001677	Mycophenolic acid,mycophenolic acid	
1255007	Nevaltophin_D	CCMSLIB00000840594	1	Nevaltophin_D	BGC0001698	nevaltophin D	GCF488
1271776	Roquefortine C	CCMSLIB00004707477	1	Roquefortine C	BGC0000420	Roquefortine C	
1308027	Clavulanic acid	CCMSLIB00005435929,CCMSLIB00005435928,CCMSLIB00005435928	3	Clavulanic acid	BGC0000841,BGC0000844,BGC0000845	Clavulanic acid,clavulanic acid	GCF2
1312036	Clavulanic acid	CCMSLIB00005435929,CCMSLIB00005435928,CCMSLIB00005435928	3	Clavulanic acid	BGC0000841,BGC0000844,BGC0000845	Clavulanic acid,clavulanic acid	GCF2
1356482	Cryptomaldamice	CCMSLIB00005724004	1	Cryptomaldamice	BGC0001560	Cryptomaldamide	GCF498
1384662	ACTINONIN	CCMSLIB00004720891	1	ACTINONIN	BGC0001442,BGC0001497	Actinonin,actinonin	
1395846	Lyngbyatoxin A M+H-CO putative or close isomer	CCMSLIB00005435951	1	Lyngbyatoxin A M+H-CO putative or close isomer	BGC0000384	Lyngbyatoxin	
1531396	Citreoviridin putative annotated in Paecelomyces	CCMSLIB00005435761	1	Citreoviridin putative annotated in Paecelomyces	BGC0001400	citreoviridin	
1645206	Lyngbyatoxin A putative or close isomer M+H	CCMSLIB00005435950	1	Lyngbyatoxin A putative or close isomer M+H	BGC0000384	Lyngbyatoxin	
1681800	Cephamycin C	CCMSLIB00005435930	1	Cephamycin C	BGC0000319	Cephamycin C	GCF2
1707652	NOSCAPINE	CCMSLIB00004693818	1	NOSCAPINE	BGC0001325	noscapine	
1738246	Barbamide	CCMSLIB00000001575,CCMSLIB00000001575,CCMSLIB00000001573,CCMSLIB00000001573	4	Barbamide	BGC0000962	Barbamide	GCF468
1744940	Barbamide	CCMSLIB00000001575,CCMSLIB00000001575,CCMSLIB00000001573,CCMSLIB00000001573	4	Barbamide	BGC0000962	Barbamide	GCF468
1747735	Barbamide	CCMSLIB00000001575,CCMSLIB00000001575,CCMSLIB00000001573,CCMSLIB00000001573	4	Barbamide	BGC0000962	Barbamide	GCF468
1758719	Barbamide	CCMSLIB00000001575,CCMSLIB00000001575,CCMSLIB00000001573,CCMSLIB00000001573	4	Barbamide	BGC0000962	Barbamide	GCF468
2034586	Antimycin A1	CCMSLIB00000578442	1	Antimycin A1	BGC0000958	Antimycin	GCF8
2087020	Okaramine B_120148	CCMSLIB00000478068	1	Okaramine B_120148	BGC0001717	okaramine B	
2118716	Rosamicin	CCMSLIB00000223877,CCMSLIB00000223877	2	Rosamicin	BGC0001830	rosamicin	GCF347
2118735	Rosamicin	CCMSLIB00000223877,CCMSLIB00000223877	2	Rosamicin	BGC0001830	rosamicin	GCF347
2124459	Desferrioxamine B + Al (M-2H+Al)	CCMSLIB00000531493	1	Desferrioxamine B + Al (M-2H+Al)	BGC0000940,BGC0000941,BGC0001453	Desferrioxamin B,desferrioxamine	GCF4
2139105	destruxin A	CCMSLIB00004708842	1	destruxin A	BGC0000337	Destruxin A	
2150637	deferrioxamine E	CCMSLIB00004719538,CCMSLIB00004695118	2	deferrioxamine E	BGC0000940,BGC0001478,BGC0001572	Desferrioxamine E,desferrioxamine E	GCF4
2202347	deferrioxamine E	CCMSLIB00004719538,CCMSLIB00004695118	2	deferrioxamine E	BGC0000940,BGC0001478,BGC0001572	Desferrioxamine E,desferrioxamine E	GCF4
2220631	Astaxanthin	CCMSLIB00004694172	1	Astaxanthin	BGC0000630	(2R,3S,3'S)-2-hydroxyastaxanthin	
2301836	Hectochlorin	CCMSLIB00000001555,CCMSLIB00000072521,CCMSLIB00000072521,CCMSLIB00000001552,CCMSLIB00000072522	5	Hectochlorin	BGC0001000	Hectochlorin	
2301899	Hectochlorin	CCMSLIB00000001555,CCMSLIB00000072521,CCMSLIB00000072521,CCMSLIB00000001552,CCMSLIB00000072522	5	Hectochlorin	BGC0001000	Hectochlorin	
2301901	Hectochlorin	CCMSLIB00000001555,CCMSLIB00000072521,CCMSLIB00000072521,CCMSLIB00000001552,CCMSLIB00000072522	5	Hectochlorin	BGC0001000	Hectochlorin	
2304029	Hectochlorin	CCMSLIB00000001555,CCMSLIB00000072521,CCMSLIB00000072521,CCMSLIB00000001552,CCMSLIB00000072522	5	Hectochlorin	BGC0001000	Hectochlorin	
