Clustername 1	Clustername 2	Raw distance	Squared similarity	Jaccard index	DSS index	Adjacency index	raw DSS non-anchor	raw DSS anchor	Non-anchor domains	Anchor domains	Combined group	Shared group
c00601_NODE_60...region001	c01555_NODE_15...region001	0.29155123233795166	0.5018996596336365	0.6000000238418579	0.7084487676620483	0.5	0.5	0.08310249447822571	4	1	NRPS - NRPS-like	
ADZB01000031.1.region001	GL383169.1.region001	0.05444575846195221	0.8940728306770325	1.0	0.945554256439209	1.0	0.031328748911619186	0.07178352028131485	9	3	NRPS - NRPS	NRPS
ADZL01000027.1.region001	GL383245.1.region001	0.03382439166307449	0.933495283126831	1.0	0.9661756157875061	1.0	0.03080597333610058	0.039861228317022324	24	3	NRPS - NRPS	NRPS
BGC0001130.1	NJAI01000004.1.region001	0.2394663542509079	0.5784114599227905	0.8421052694320679	0.7605336308479309	0.800000011920929	0.2590971291065216	0.2326890528202057	29	21	hglE-KS.T1PKS.PUFA.NRPS - nrps.t1pks.hglks	
ADYN01000035.1.region001	GL383759.1.region002	0.01942763850092888	0.9615221619606018	1.0	0.9805723428726196	1.0	0.024890121072530746	0.010778707452118397	19	3	NRPS - NRPS	NRPS
GL383169.1.region001	GL383213.1.region001	0.022533752024173737	0.9554402828216553	1.0	0.9774662256240845	1.0	0.008107546716928482	0.03335340693593025	9	3	NRPS - NRPS	NRPS
ADYO01000023.1.region001	GL383972.1.region002	0.01860903389751911	0.9631282091140747	1.0	0.9813909530639648	1.0	0.02869248017668724	0.0026435786858201027	19	3	NRPS - NRPS	NRPS
GL383213.1.region001	GL383245.1.region001	0.025085384026169777	0.9504585266113281	1.0	0.9749146103858948	1.0	0.021835561841726303	0.031585030257701874	24	3	NRPS - NRPS	NRPS
ADYN01000035.1.region001	GL383459.1.region002	0.02520599775016308	0.9502233266830444	1.0	0.9747940301895142	1.0	0.016495466232299805	0.03899766877293587	19	3	NRPS - NRPS	NRPS
c01538_NODE_15...region001	c03608_NODE_36...region001	0.29036352038383484	0.5035839080810547	0.6666666865348816	0.7096364498138428	0.5	0.6176470518112183	0.12672176957130432	2	1	NRPS-like - NRPS-like	NRPS-like
c02121_NODE_21...region001	c03789_NODE_37...region001	0.2708333432674408	0.5316840410232544	1.0	0.7291666865348816	1.0	0.0	0.3385416567325592	1	1	NRPS - NRPS-like	
ADZL01000027.1.region001	ADZT01000014.1.region001	0.0	1.0	1.0	1.0	1.0	0.0	0.0	19	3	NRPS - NRPS	NRPS
ADYO01000023.1.region001	GL384611.1.region001	0.029076965525746346	0.9426915645599365	1.0	0.9709230065345764	1.0	0.02281125634908676	0.03899766877293587	19	3	NRPS - NRPS	NRPS
BGC0001698.1	LOIC01000032.1.region001	0.15052737295627594	0.7216037511825562	0.0892857164144516	0.8494726419448853	0.09677419066429138	0.26538512110710144	0.12591500580310822	6	7	NRPS - nrps	
